ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,Cognates,Surface_Form,Underlying_Form,Tokens
Assamese-Chan-2019-133-1-1-1,,Assamese,Chan-2019-133-1-1,ɛk,ɛk,ɛ k,,Assamese,,,,,one,1,ɛ k,ɛ k,ɛ k
Assamese-Chan-2019-133-2-2-1,,Assamese,Chan-2019-133-2-2,dui,dui,d u i,,Assamese,,,,,two/dui,2,d u i,d u i,d u i
Assamese-Chan-2019-133-3-3-1,,Assamese,Chan-2019-133-3-3,tini,tini,t i n i,,Assamese,,,,,three,3,t i n i,t ɛ,t i/ɛ n/- i/-
Assamese-Chan-2019-133-4-4-1,,Assamese,Chan-2019-133-4-4,sari,sari,s a ɹ i,,Assamese,,,,,four,4,s a ɹ i,s o u,s a/o ɹ/- i/u
Assamese-Chan-2019-133-5-5-1,,Assamese,Chan-2019-133-5-5,pãs,pãs,p ã s,,Assamese,,,,,five,5,p ã s,p ɔ n,p ã/ɔ s/n
Assamese-Chan-2019-133-6-6-1,,Assamese,Chan-2019-133-6-6,sai,sai,s a i,,Assamese,,,,,six,6,s a i,s a i,s a i
Assamese-Chan-2019-133-7-7-1,,Assamese,Chan-2019-133-7-7,xat,xat,x a t,,Assamese,,,,,seven,7,x a t,x a t,x a t
Assamese-Chan-2019-133-8-8-1,,Assamese,Chan-2019-133-8-8,atʰ,atʰ,a tʰ,,Assamese,,,,,eight,8,a tʰ,a tʰ,a tʰ
Assamese-Chan-2019-133-9-9-1,,Assamese,Chan-2019-133-9-9,nɔ,nɔ,n ɔ,,Assamese,,,,,nine,9,n ɔ,n ɔ,n ɔ
Assamese-Chan-2019-133-10-10-1,,Assamese,Chan-2019-133-10-10,dɔɦ,dɔɦ,d ɔ ɦ,,Assamese,,,,,ten,14,d ɔ ɦ,d ɔ ɦ,d ɔ ɦ
Assamese-Chan-2019-133-11-11-1,,Assamese,Chan-2019-133-11-11,ɛkɹɔ,ɛkɹɔ,ɛ k + ɹ ɔ,,Assamese,,,,,one teen,1 90,ɛ k + ɹ ɔ,ɛ k + r ɔ,ɛ k + ɹ/r ɔ
Assamese-Chan-2019-133-12-12-1,,Assamese,Chan-2019-133-12-12,barɔ,barɔ,b a + r ɔ,,Assamese,,,,,two/ba teen,12 90,b a + r ɔ,b a + r ɔ,b a + r ɔ
Assamese-Chan-2019-133-13-13-1,,Assamese,Chan-2019-133-13-13,tɛrɔ,tɛrɔ,t + ɛ r ɔ,,Assamese,,,,,three2 teen,13 90,t + ɛ r ɔ,t + r ɔ,t + ɛ/- r ɔ
