Language,Number,Glottocode,Family,Base,Forms,Surface,Underlying,Cognates,Surf. Morph.,Und. Morph.,Cogn.,TTR (Surface),TTR (Underlying),TTR (Cognates),H (Surface),H (Underlying),H (Cognates),code length,Morph. Opacity,Morfessor F1,Morfessor F1 (underlying),only vigesimal
Assamese,1,assa1263,Indo-European,10,40,1.6585365853658536,3.4,3.4,41,20,20,0.6029411764705882,0.29411764705882354,0.29411764705882354,3.5082730781793554,2.7985550633844825,2.7985550633844825,1.7,2.05,0.6440677966101694,1.0,
Aymara,2,ayma1253,Aymaran,5;10,40,10.583333333333334,12.7,12.7,12,10,10,0.09448818897637795,0.07874015748031496,0.07874015748031496,2.1163830969404467,1.9753556495134281,1.9753556495134281,3.175,1.2,0.9390243902439025,1.0,
Cavineña,3,cavi1250,Pano-Tacanan,5,40,10.461538461538462,13.6,13.6,13,10,10,0.09558823529411764,0.07352941176470588,0.07352941176470588,2.260942149266418,2.0892102684432454,2.0892102684432454,3.4,1.3,0.9333333333333333,1.0,
Czech,4,czec1258,Indo-European,10,40,5.176470588235294,8.0,8.0,17,11,11,0.19318181818181818,0.125,0.125,2.343674593018071,2.170634375521569,2.170634375521569,2.2,1.5454545454545454,0.7272727272727274,1.0,
French,5,stan1290,Indo-European,10,40,3.0833333333333335,3.8947368421052633,3.8947368421052633,24,19,19,0.32432432432432434,0.25675675675675674,0.25675675675675674,2.8397291151169672,2.6143006388087975,2.6143006388087975,1.85,1.263157894736842,0.75,0.7857142857142858,
German,6,stan1295,Indo-European,10,40,5.2,6.933333333333334,6.933333333333334,20,15,15,0.19230769230769232,0.14423076923076922,0.14423076923076922,2.608383565226824,2.3854043680943287,2.3854043680943287,2.6,1.3333333333333333,0.8073394495412843,0.8148148148148148,
Hindi,7,hind1269,Indo-European,10,40,1.3958333333333333,3.9411764705882355,3.9411764705882355,48,17,17,0.7164179104477612,0.2537313432835821,0.2537313432835821,3.649909483314966,2.5909276626231765,2.5909276626231765,1.675,2.823529411764706,0.4186046511627907,1.0,
Huallaga Quechua,8,hual1241,Quechuan,10,40,8.8,8.8,8.8,10,10,10,0.11363636363636363,0.11363636363636363,0.11363636363636363,1.9584111008723577,1.9584111008723577,1.9584111008723577,2.2,1.0,1.0,1.0,
Irish,9,iris1253,Indo-European,10,41,4.386363636363637,6.892857142857143,6.892857142857143,22,14,14,0.22797927461139897,0.14507772020725387,0.14507772020725387,2.613645571971663,2.415766705394661,2.415766705394661,2.4146341463414633,1.5714285714285714,0.7605633802816901,0.888888888888889,
Italian,10,ital1282,Indo-European,10,40,3.074074074074074,5.928571428571429,5.928571428571429,27,14,14,0.3253012048192771,0.1686746987951807,0.1686746987951807,2.9330796767374667,2.480034398448065,2.480034398448065,2.075,1.9285714285714286,0.7499999999999999,0.8219178082191781,
Lamjung Yolmo,11,lamj1247,Sino-Tibetan,10;20,61,2.657142857142857,8.454545454545455,8.454545454545455,35,11,11,0.3763440860215054,0.11827956989247312,0.11827956989247312,3.1891948473043907,2.168308394919917,2.168308394919917,2.5901639344262297,3.1818181818181817,0.6496815286624205,0.8850574712643678,
Lamjung Yolmo,12,lamj1247,Sino-Tibetan,10;20,40,3.161290322580645,8.909090909090908,8.909090909090908,31,11,11,0.3163265306122449,0.11224489795918367,0.11224489795918367,2.957626041834133,2.0646987004547577,2.0646987004547577,2.45,2.8181818181818183,0.66,0.7916666666666666,X
Latin,13,lati1261,Indo-European,10,40,4.0,6.133333333333334,6.133333333333334,23,15,15,0.25,0.16304347826086957,0.16304347826086957,2.83867561807059,2.5131537560058876,2.5131537560058876,2.3,1.5333333333333334,0.7317073170731707,0.9702970297029703,
Makyam (Khalai),14,maky1236,,10,40,4.814814814814815,7.222222222222222,7.222222222222222,27,18,18,0.2076923076923077,0.13846153846153847,0.13846153846153847,2.886093256832272,2.664904961104628,2.664904961104628,3.25,1.5,0.7671232876712328,0.846153846153846,
Maltese,15,malt1254,Afro-Asiatic,10,40,4.24,8.833333333333334,8.833333333333334,25,12,12,0.2358490566037736,0.11320754716981132,0.11320754716981132,2.6686191159585886,2.213566050776749,2.213566050776749,2.65,2.0833333333333335,0.7058823529411764,1.0,
