ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Barwar_Neo-Aramaic	one	xa	x a -/d	one		1	xad is the original form. The stop /d/ resurfaces before vowels, like in 11	Khan2008
2	Barwar_Neo-Aramaic	one	ða	ð a	one2		2	it is an open question if the two forms of the units should be derived from each other or treated as different morphemes. In my opinion, only the numbers 4 and eight are transparently derived from each other, while all the rest are different enough to mark them as separate morphemes	Khan2008
3	Barwar_Neo-Aramaic	two	tre	t r e	two		3		Khan2008
4	Barwar_Neo-Aramaic	two	tǝrte	t ǝ r t e	two2		4		Khan2008
5	Barwar_Neo-Aramaic	three	ṭḷáθa	tˤ lˤ a θ a	three		5		Khan2008
6	Barwar_Neo-Aramaic	three	ṭǝḷḷǝθ	tˤ ǝ lˤː ǝ θ	three2		7		Khan2008
7	Barwar_Neo-Aramaic	four	’árba	ʔ a r b a	four		8		Khan2008
8	Barwar_Neo-Aramaic	four	’árbe	ʔ a r b e/a	four		8		Khan2008
9	Barwar_Neo-Aramaic	five	xámša	x a m ʃ a	five		9		Khan2008
10	Barwar_Neo-Aramaic	five	xámmǝš	x a mː ǝ ʃ	five2		10		Khan2008
11	Barwar_Neo-Aramaic	six	’ǝ́šta	ʔ ǝ ʃ t a	six		11		Khan2008
12	Barwar_Neo-Aramaic	six	’ǝ́ššǝt	ǝ ʃː ǝ t	six2		12		Khan2008
13	Barwar_Neo-Aramaic	seven	šáwwa	ʃ a wː a	seven		13		Khan2008
14	Barwar_Neo-Aramaic	seven	’ǝ́šwa	ʔ ǝ ʃ w a	seven2		15		Khan2008
15	Barwar_Neo-Aramaic	eight	tmánya	t m a n j a	eight		16		Khan2008
16	Barwar_Neo-Aramaic	eight	tmáne	t m a n -/j e/a	eight		16		Khan2008
17	Barwar_Neo-Aramaic	nine	’ǝč̣č̣a	ʔ ǝ ʧˤː a	nine		17		Khan2008
18	Barwar_Neo-Aramaic	nine	’ǝčča	ʔ ǝ ʧː a	nine2		18		Khan2008
19	Barwar_Neo-Aramaic	ten	’ǝ́ṣra	ʔ ǝ sˤ r a	ten		19		Khan2008
20	Barwar_Neo-Aramaic	ten	’ǝ́ssǝr	ʔ ǝ sː ǝ r	ten2		20		Khan2008
21	Barwar_Neo-Aramaic	eleven	xadǝ́ssǝr	x a d + -/ʔ ǝ sː ǝ r	one ten2		1 20	after 10 the numbers are invariable	Khan2008
22	Barwar_Neo-Aramaic	twelve	trǝ́ssǝr	t r -/e + -/ʔ ǝ sː ǝ r	two ten2		3 20		Khan2008
23	Barwar_Neo-Aramaic	thirteen	tǝltassǝr	t ǝ l t + -/ʔ a/ǝ sː ǝ r	three3 ten2		6 20		Khan2008
24	Barwar_Neo-Aramaic	fourteen	’arbássǝr	ʔ a r b -/a + -/ʔ a/ǝ sː ǝ r	four ten2		8 20		Khan2008
25	Barwar_Neo-Aramaic	fifteen	xamsássǝr	x a m s/ʃ -/a + -/ʔ a/ǝ sː ǝ r	five ten2		9 20		Khan2008
26	Barwar_Neo-Aramaic	sixteen	’ǝštássǝr	ʔ ǝ ʃ t -/a + -/ʔ a/ǝ sː ǝ r	six ten2		11 20		Khan2008
27	Barwar_Neo-Aramaic	seventeen	šwássǝr	ʃ w + -/ʔ a/ǝ sː ǝ r	seven3 ten2		14 20		Khan2008
28	Barwar_Neo-Aramaic	eighteen	tmanǝ́ssar	t m a n -/j -/a + -/ʔ ǝ sː ǝ r	eight ten2		16 20		Khan2008
29	Barwar_Neo-Aramaic	nineteen	’ǝč̣č̣ássǝr	ʔ ǝ ʧˤː -/a + -/ʔ a/ǝ sː ǝ r	nine ten2		17 20		Khan2008
