ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Plains_Cree	one	pēyak	p eː j a k	one		1		Okimasis2018
2	Plains_Cree	two	nīso	n iː s u	two		2		Okimasis2018
3	Plains_Cree	three	nisto	n i s t u	three		3		Okimasis2018
4	Plains_Cree	four	nēwo	n eː w u	four		4		Okimasis2018
5	Plains_Cree	five	niyānan	n i j aː n a n	five		5		Okimasis2018
6	Plains_Cree	six	nikotwāsik	n i k o t w aː s i k	six		6		Okimasis2018
7	Plains_Cree	seven	tēpakohp	t eː p a k u h p	seven		7		Okimasis2018
8	Plains_Cree	eight	ayēnānēw	a j eː n aː n eː w	eight		8		Okimasis2018
9	Plains_Cree	nine	kēkā-mitātaht	k eː k aː -/ts + m i t aː t a h t	nearly ten		9 10		Okimasis2018
10	Plains_Cree	ten	mitātaht	m i t aː t a h t	ten		10		Okimasis2018
11	Plains_Cree	eleven	pēyakosāp	p eː j a k + u/- s aː p	one teen		1 11		Okimasis2018
12	Plains_Cree	twelve	nīsosāp	n iː s u + s aː p	two teen		2 11		Okimasis2018
13	Plains_Cree	thirteen	nistosāp	n i s t u + s aː p	three teen		3 11		Okimasis2018
14	Plains_Cree	fourteen	nēwosāp	n eː w u + s aː p	four teen		4 11		Okimasis2018
15	Plains_Cree	fifteen	niyānanosāp	n i j aː n a n + u/- s aː p	five teen		5 11		Okimasis2018
16	Plains_Cree	sixteen	nikotwāsosāp	n i k o t w aː s -/i -/k + u/- s aː p	six teen		6 11		Okimasis2018
17	Plains_Cree	seventeen	tēpakohposāp	t eː p a k u h p + u/- s aː p	seven teen		7 11		Okimasis2018
100	Plains_Cree	seventeen	tēpakohp-tahtosāp	t eː p a k u h p + t a h t u + s aː p	seven ? teen		7 99 11		Okimasis2018
18	Plains_Cree	eighteen	ayēnānēwosāp	a j eː n aː n eː w + u/- s aː p	eight teen		8 11		Okimasis2018
19	Plains_Cree	nineteen	kēkā-mitātahtosāp	k eː k aː -/ts + m i t aː t a h t + u/- s aː p	nearly ten teen		9 10 11		Okimasis2018
20	Plains_Cree	twenty	nīsitanaw	n iː s i t a n a w	twenty		20		Okimasis2018
21	Plains_Cree	twenty one	nīsitanaw ayiwāk pēyak	n iː s i t a n a w + a j i w aː k + p eː j a k	twenty plus one		20 12 1		Okimasis2018
22	Plains_Cree	twenty two	nīsitanaw ayiwāk nīso	n iː s i t a n a w + a j i w aː k + n iː s u	twenty plus two		20 12 2		Okimasis2018
23	Plains_Cree	twenty three	nīsitanaw ayiwāk nisto	n iː s i t a n a w + a j i w aː k + n i s t u	twenty plus three		20 12 3		Okimasis2018
24	Plains_Cree	twenty four	nīsitanaw ayiwāk nēwo	n iː s i t a n a w + a j i w aː k + n eː w u	twenty plus four		20 12 4		Okimasis2018
25	Plains_Cree	twenty five	nīsitanaw ayiwāk niyānan	n iː s i t a n a w + a j i w aː k + n i j aː n a n	twenty plus five		20 12 5		Okimasis2018
26	Plains_Cree	twenty six	nīsitanaw ayiwāk nikotwāsik	n iː s i t a n a w + a j i w aː k + n i k o t w aː s i k	twenty plus six		20 12 6		Okimasis2018
27	Plains_Cree	twenty seven	nīsitanaw ayiwāk tēpakohp	n iː s i t a n a w + a j i w aː k + t eː p a k u h p	twenty plus seven		20 12 7		Okimasis2018
28	Plains_Cree	twenty eight	nīsitanaw ayiwāk ayēnānēw	n iː s i t a n a w + a j i w aː k + a j eː n aː n eː w	twenty plus eight		20 12 8		Okimasis2018
101	Plains_Cree	twenty one	nīsitanaw pēyakosāp	n iː s i t a n a w + p eː j a k + u/- s aː p	twenty one teen		20 1 11		Okimasis2018
102	Plains_Cree	twenty two	nīsitanaw nīsosāp	n iː s i t a n a w + n iː s u + s aː p	twenty two teen		20 2 11		Okimasis2018
103	Plains_Cree	twenty three	nīsitanaw nistosāp	n iː s i t a n a w + n i s t u + s aː p	twenty three teen		20 3 11		Okimasis2018
104	Plains_Cree	twenty four	nīsitanaw nēwosāp	n iː s i t a n a w + n eː w u + s aː p	twenty four teen		20 4 11		Okimasis2018
