ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE
1	Bulgarian	ONE	"едно"				
2	Bulgarian	TWO	"две"				
3	Bulgarian	THREE	"три"				
4	Bulgarian	FOUR	"четири"				
5	Bulgarian	FIVE	"пет"				
6	Bulgarian	SIX	"шест"				
7	Bulgarian	SEVEN	"седем"				
8	Bulgarian	EIGHT	"осем"				
9	Bulgarian	NINE	"девет"				
10	Bulgarian	TEN	"десет"				
11	Bulgarian	ELEVEN	"единадесет"				
12	Bulgarian	TWELVE	"дванадесет"				
13	Bulgarian	THIRTEEN	"тринадесет"				
14	Bulgarian	FOURTEEN	"четиринадесет"				
15	Bulgarian	FIFTEEN	"петнадесет"				
16	Bulgarian	SIXTEEN	"шестнадесет"				
17	Bulgarian	SEVENTEEN	"седемнадесет"				
18	Bulgarian	EIGHTEEN	"осемнадесет"				
19	Bulgarian	NINETEEN	"деветнадесет"				
20	Bulgarian	TWENTY	"двадесет"				
21	Bulgarian	"TWENTY ONE"	"двадесет и едно"				
22	Bulgarian	"TWENTY TWO"	"двадесет и две"				
23	Bulgarian	"TWENTY THREE"	"двадесет и три"				
24	Bulgarian	"TWENTY FOUR"	"двадесет и четири"				
25	Bulgarian	"TWENTY FIVE"	"двадесет и пет"				
26	Bulgarian	"TWENTY SIX"	"двадесет и шест"				
27	Bulgarian	"TWENTY SEVEN"	"двадесет и седем"				
28	Bulgarian	"TWENTY EIGHT"	"двадесет и осем"				
29	Bulgarian	"TWENTY NINE"	"двадесет и девет"				
30	Bulgarian	THIRTY	"тридесет"				
31	Bulgarian	"THIRTY ONE"	"тридесет и едно"				
32	Bulgarian	"THIRTY TWO"	"тридесет и две"				
33	Bulgarian	"THIRTY THREE"	"тридесет и три"				
34	Bulgarian	"THIRTY FOUR"	"тридесет и четири"				
35	Bulgarian	"THIRTY FIVE"	"тридесет и пет"				
36	Bulgarian	"THIRTY SIX"	"тридесет и шест"				
37	Bulgarian	"THIRTY SEVEN"	"тридесет и седем"				
38	Bulgarian	"THIRTY EIGHT"	"тридесет и осем"				
39	Bulgarian	"THIRTY NINE"	"тридесет и девет"				
40	Bulgarian	FORTY	"четирисет"				
